epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1716,2.00393,3.72872,2.11272,0.18182,0.00694,0.09174,0.03225,2.51654,3.96528,2.93169,0.000662447,0.000662447,0.000662447
2,113.249,2.05944,2.58451,2.16338,0.0678,0.04167,0.03641,0.01342,2.67524,4.53619,2.79686,0.00127648,0.00127648,0.00127648
3,165.544,2.05001,2.52397,2.20726,0.84211,0.05556,0.44724,0.17013,2.19659,2.61997,2.58553,0.00183771,0.00183771,0.00183771
4,223.242,2.01523,2.46557,2.16105,0.375,0.34375,0.30341,0.13288,2.21197,3.67832,2.48508,0.0017624,0.0017624,0.0017624
5,275.835,1.95511,2.37514,2.09667,0.66667,0.23611,0.45482,0.21606,2.08857,2.4929,2.42391,0.0016832,0.0016832,0.0016832
6,327.913,1.92586,2.23406,2.04966,0.76596,0.25,0.51004,0.24695,2.09857,2.19954,2.40834,0.001604,0.001604,0.001604
7,379.713,1.88662,2.10695,2.01999,0.90566,0.16667,0.54203,0.26869,2.06831,1.94593,2.40381,0.0015248,0.0015248,0.0015248
8,431.704,1.81732,2.032,1.98587,0.65517,0.46181,0.57472,0.25766,2.12518,2.10166,2.38431,0.0014456,0.0014456,0.0014456
9,483.443,1.80013,1.98219,1.97906,0.86179,0.36806,0.61956,0.29878,2.0601,1.76973,2.36047,0.0013664,0.0013664,0.0013664
10,535.422,1.8082,1.94414,1.95889,0.77632,0.40972,0.58877,0.251,2.19208,2.10146,2.44841,0.0012872,0.0012872,0.0012872
11,587.065,1.77079,1.91529,1.93138,0.83453,0.40278,0.62355,0.29625,2.04179,1.71462,2.27284,0.001208,0.001208,0.001208
12,639.219,1.73898,1.76647,1.89213,0.83108,0.42708,0.63203,0.3049,2.10969,1.73373,2.33378,0.0011288,0.0011288,0.0011288
13,691.47,1.72961,1.73629,1.87947,0.8,0.5,0.65037,0.29764,2.0603,1.56634,2.28761,0.0010496,0.0010496,0.0010496
14,744.025,1.71349,1.72524,1.8793,0.84925,0.58681,0.71313,0.32655,2.07947,1.57648,2.3241,0.0009704,0.0009704,0.0009704
15,796.261,1.66157,1.65876,1.84398,0.86911,0.57639,0.7254,0.34162,2.11724,1.47301,2.36314,0.0008912,0.0008912,0.0008912
16,847.595,1.63999,1.33998,1.91708,0.83735,0.48264,0.66819,0.31574,2.08934,1.55927,2.31404,0.000812,0.000812,0.000812
17,896.999,1.5912,1.22297,1.9115,0.80729,0.53819,0.64613,0.30047,2.11854,1.42898,2.30432,0.0007328,0.0007328,0.0007328
18,946.191,1.57633,1.20334,1.88106,0.80402,0.55556,0.68584,0.32489,2.10451,1.45066,2.29616,0.0006536,0.0006536,0.0006536
19,995.681,1.59475,1.13703,1.87818,0.74494,0.63889,0.72729,0.34801,2.07134,1.44661,2.28927,0.0005744,0.0005744,0.0005744
20,1045.39,1.54426,1.07486,1.83413,0.80402,0.55556,0.68132,0.31732,2.04648,1.44551,2.23307,0.0004952,0.0004952,0.0004952
21,1094.91,1.52552,1.01063,1.82886,0.819,0.62847,0.68634,0.33029,2.11285,1.33653,2.34273,0.000416,0.000416,0.000416
22,1144.78,1.50614,1.004,1.80958,0.79661,0.65278,0.74392,0.35804,2.07705,1.26596,2.28262,0.0003368,0.0003368,0.0003368
23,1194.64,1.49299,0.95086,1.78686,0.80258,0.64931,0.71794,0.34375,2.08396,1.37493,2.2687,0.0002576,0.0002576,0.0002576
24,1243.61,1.46154,0.94588,1.77515,0.79498,0.65972,0.73919,0.36861,2.04594,1.30603,2.27464,0.0001784,0.0001784,0.0001784
25,1293.28,1.46732,0.91633,1.79008,0.81624,0.66319,0.76018,0.37812,2.05167,1.27913,2.26289,9.92e-05,9.92e-05,9.92e-05
